JDC,PARISH,AGE,CHARGE,Victim Crime
41,ORLEANS,46 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,53 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:60 Aggravated Burglary, RS 14:89.1 Aggravated crime against nature, RS 14:44 Aggravated Kidnapping",
41,ORLEANS,62 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,37 years,RS 14:64.1 First Degree Robbery,
41,ORLEANS,67 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,66 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,45 years,RS 14.31 Manslaughter,
41,ORLEANS,49 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,44 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,71 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,64 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,55 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,54 years,"RS 14:42.1 - Second degree rape / Forcible rape, RS 14:44.1 — Second degree kidnapping, 14:43.5 Intentional Exposure to HIV",
41,ORLEANS,33 years,RS 14.31 Manslaughter,
41,ORLEANS,66 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,59 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,45 years,"RS 14:62 Simple Burglary , RS 14:42.1 - Second degree rape / Forcible rape, RS 14:64 Armed Robbery, RS 14:60 Aggravated Burglary",
41,ORLEANS,38 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,70 years,RS 14.31 Manslaughter,
41,ORLEANS,66 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,48 years,RS 14.31 Manslaughter,
41,ORLEANS,45 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,70 years,RS 14:64 Armed Robbery,
41,ORLEANS,52 years,"RS 14:30.1 Second Degree Murder, RS 14.27 Attempt/ 14:30 First Degree",
41,ORLEANS,58 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,57 years,RS 14:64 Armed Robbery,
41,ORLEANS,45 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,41 years,RS 14.31 Manslaughter,
41,ORLEANS,50 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,67 years,"Rs 14:54 Simple Kidnapping, RS 14:42.1 - Second degree rape / Forcible rape",
41,ORLEANS,68 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,55 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,61 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,65 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,70 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,69 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,47 years,RS 14:64 Armed Robbery,
41,ORLEANS,66 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:44 Aggravated Kidnapping",
41,ORLEANS,66 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,67 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,35 years,"RS 14:95.1 Felon in Possession of a Firearm, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,47 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,34 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm, RS 14:94 illegal carrying and discharging a weapon",
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,65 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,56 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,47 years,"RS 14:64 Armed Robbery, RS 14:27 Attempt/ 14:34 Armed Robbery",
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,64 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,57 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
41,ORLEANS,53 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,52 years,RS 14:64 Armed Robbery,
41,ORLEANS,52 years,"RS 14.27 Attempt/ 14:30 First Degree, RS 14:110 Aggravated Escape",
41,ORLEANS,62 years,"RS 14:64 Armed Robbery, RS 14:65 Simple Robbery, RS 14.27 Attempt/ RS 14:64.1 First Degree Robbery, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,44 years,RS 14.31 Manslaughter,
41,ORLEANS,40 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,52 years,RS 14:42.1 - Second degree rape / Forcible rape,
41,ORLEANS,41 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,46 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm, RS 40:967  Possession with Intent to Distribute Schedule II",
41,ORLEANS,66 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
41,ORLEANS,41 years,RS 14.27 Attempt/ RS 14.42 Aggravated Rape,
41,ORLEANS,45 years,RS 14:95.1 Felon in Possession of a Firearm,
41,ORLEANS,51 years,RS 14.31 Manslaughter,
41,ORLEANS,77 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,73 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,48 years,RS 14:27 Attempt / 14.31 Manslaughter,
41,ORLEANS,60 years,RS 14:64.1 First Degree Robbery,
41,ORLEANS,45 years,"RS 14:27 Attempt / 14.31 Manslaughter, RS 14.31 Manslaughter",
41,ORLEANS,58 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,40 years,"RS 14.27 Attempt/ RS 14.42 Aggravated Rape, RS 14:(26)64 conspiracy to commit armed robbery, RS 14:43.3 Oral Sexual Battery",
41,ORLEANS,65 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,64 years,"RS 14:64 Armed Robbery, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,49 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,42 years,RS 14.31 Manslaughter,
41,ORLEANS,54 years,RS 14.27 Attempt/ RS 14.42 Aggravated Rape,
41,ORLEANS,43 years,RS 14:64 Armed Robbery,
41,ORLEANS,48 years,"Rs 14:54 Simple Kidnapping, RS 14:27 Attempt / 14.31 Manslaughter",
41,ORLEANS,66 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,40 years,,
41,ORLEANS,47 years,RS 14.31 Manslaughter,
41,ORLEANS,64 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
41,ORLEANS,60 years,RS 14:42.1 - Second degree rape / Forcible rape,
42,DESOTO,36 years,RS 14:30.1 Second Degree Murder,
42,DESOTO,37 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
42,DESOTO,92 years,RS 14:30.1 Second Degree Murder,
